Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Angelstam, P; Lazdinis, M",,,,"Angelstam, Per; Lazdinis, Marius",,,"Tall herb sites as a guide for planning, maintenance and engineering of riparian continuous forest cover",ECOLOGICAL ENGINEERING,,,,,9th International Meeting of the European-Chapter of the Society-of-Wetland-Scientists (SWS) on Wetlands Biodiversity and Services - Tools for Socio-Ecological Development held Jointly with the 6th Conference of the European-Pond-Conservation-Network,"SEP 14-18, 2014","Huesca, SPAIN","Soc Wetland Scientists, European Chapter, European Pond Conservat Network",,,,"Continuous cover riparian forests host significant plant and animal species richness, a range of habitats, and natural processes of importance for both terrestrial and aquatic ecosystems. Riparian forest is thus a green infrastructure for biodiversity conservation. However, a long history of landscape alteration now calls for maintenance and restoration by ecological engineering. This study evaluates management guidelines advocating constant vs. variable width of riparian forest protected zones in managed landscapes. In naturally dynamic forests, stands with gap-phase dynamic along streams often provide a network of habitats with a high degree of continuity in tree canopy cover and dead wood for biodiversity conservation and delivery of ecosystem services including water purification. Based on the observation that tall herb sites indicate a potential for temporally continuous forest cover, we tested three null hypotheses. Tall herb sites ( 1) are equally common in the riparian zone and in the surrounding forest landscape; ( 2) have the same width on both sides of a stream; and ( 3) their widths are independent of the width of the adjacent stream. We described the ground vegetation in transects along and perpendicular to streams, and in the surrounding landscape, in six 3rd stream order catchment located in Sweden, Lithuania and the Komi Republic of Russia. The results showed that tall herb sites were 21-27 times more common along streams compared to in the rest of the landscape, the width of tall herb sites varied considerably along streams, and it was independent of the width of the adjacent stream. This study suggests that rather than fixed-width guidelines for riparian set-asides, to support cost-efficient maintenance of riparian forest, local site conditions should be used as guide for planning, maintenance and engineering of riparian ecotones. Because tall herb forest sites were historically cleared for agricultural purposes, the potential natural amount of riparian forest is severely underestimated. (C) 2016 Elsevier B.V. All rights reserved.",,,,,"Angelstam, Per/0000-0003-2190-3172",,,,,,,,,,,,0925-8574,1872-6992,,,,JUN,2017,103,,B,,,,470,477,,10.1016/j.ecoleng.2016.06.099,,,,,,,WOS:000402830800017,,,,,,
J,"Vanbergen, AJ; Woodcock, BA; Heard, MS; Chapman, DS",,,,"Vanbergen, Adam J.; Woodcock, Ben A.; Heard, Matthew S.; Chapman, Daniel S.",,,"Network size, structure and mutualism dependence affect the propensity for plant-pollinator extinction cascades",FUNCTIONAL ECOLOGY,,,,,,,,,,,,"Pollinator network structure arising from the extent and strength of interspecific mutualistic interactions can promote species persistence and community robustness. However, environmental change may re-organise network structure limiting capacity to absorb or resist shocks and increasing species extinctions. We investigated if habitat disturbance and the level of mutualism dependence between species affected the robustness of insect-flower visitation networks Following a recently developed Stochastic Co-extinction Model (SCM), we ran simulations to produce the number of extinction episodes (cascade degree), which we correlated with network structure in undisturbed and disturbed habitat. We also explicitly modelled whether a species' intrinsic dependence on mutualism affected the propensity for extinction cascades in the network. Habitat disturbance generated a gradient in network structure with those from disturbed sites being less connected, but more speciose and so larger. Controlling for network size (z-score standardisation against the null model) revealed that disturbed networks had disproportionately low linkage density, high specialisation, fewer insect visitors per plant species (vulnerability) and lower nestedness (NODF). This network structure gradient driven by disturbance increased and decreased different aspects of robustness to simulated plant extinction. Disturbance decreased the risk that an initial insect extinction would follow a plant species loss. Although, this effect disappeared when network size and connectance were standardised, suggesting the lower connectance of disturbed networks increased robustness to an initial secondary extinction. However, if a secondary extinction occurred then networks from disturbed habitat were more prone to large co-extinction cascades, likely resulting from a greater chance of extinction in these larger, speciose networks. Conversely, when species mutualism dependency was explicit in the SCM simulations the disturbed networks were disproportionately more robust to very large co-extinction cascades, potentially caused by non-random patterns of interaction between species differing in dependence on mutualism. Our results showed disturbance altered the size and the distribution of interspecific interactions in the networks to affect their robustness to co-extinction cascades. Controlling for effects due to network size and the interspecific variation in demographic dependence on mutualism can improve insight into properties conferring the structural robustness of networks to environmental changes. A is available for this article.",,,,"Chapman, Daniel/O-5100-2019; Vanbergen, Adam J./I-6863-2012; Chapman, Daniel S/C-2900-2008; Woodcock, Benjamin Alex/F-9199-2010","Chapman, Daniel/0000-0003-1836-4112; Vanbergen, Adam J./0000-0001-8320-5535; Chapman, Daniel S/0000-0003-1836-4112; Woodcock, Benjamin Alex/0000-0003-0300-9951",,,,,,,,,,,,0269-8463,1365-2435,,,,JUN,2017,31,6,,,,,1285,1293,,10.1111/1365-2435.12823,,,,,,,WOS:000402642900012,,,,,,
J,"Hill, MP; Gallardo, B; Terblanche, JS",,,,"Hill, Matthew P.; Gallardo, Belinda; Terblanche, John S.",,,A global assessment of climatic niche shifts and human influence in insect invasions,GLOBAL ECOLOGY AND BIOGEOGRAPHY,,,,,,,,,,,,"Aim: Non-native invasive insects have major impacts on ecosystem function, agricultural production and human health. To predict the geographical distributions of these species, correlative ecological niche models (ENMs) are typically used. Such methods rely on assumptions of niche conservatism, although there is increasing evidence that many species undergo niche shifts during invasions. The magnitude and direction of niche shifts, however, is likely to vary within and between taxonomic groups, highlighting that an assessment of potential niche shifts in such insects is required. Location: Global. Time period: Current. Major taxa studied: Insects. Methods: We compile a novel database of 22 globally invasive, non-native insect species and test for niche expansion and unfilling across this group. We examine if factors such as the native range size, poleward shifts and human influence may be associated with observed niche changes. Finally, we construct ENMs and examine the reliability of their predictions in light of our niche shift results. Results: Niche expansion was apparent in 12 of the 22 species, suggesting that altered species-climate relationships during invasion is common for this group. Likewise, niche unfilling occurred in 15 of the species. Increasing human disturbance (combining human population, transport networks and land use) explained 40% of observed niche expansions and 54% of incidents of niche unfilling. Niche metrics and ENM performance were sensitive to the choice of background extents. Main conclusions: Many non-native insects expand into new climates in their invasive ranges. The prevalence of niche unfilling across this group suggests climate disequilibrium and the potential for further range expansion. Non-native invasive insects tend to invade areas with similar human disturbance to their native range, and habitat accessibility appears important for these species to achieve their full invasion range potential. Ideally, ENMs should not be used in isolation for this group, but should be coupled with other methods or experiments to test for potential niche change.",,,,"Terblanche, John/AAB-4457-2020; Gallardo, Belinda/H-9038-2013","Terblanche, John/0000-0001-9665-9405; Gallardo, Belinda/0000-0002-1552-8233; Hill, Matthew/0000-0002-7762-5258",,,,,,,,,,,,1466-822X,1466-8238,,,,JUN,2017,26,6,,,,,679,689,,10.1111/geb.12578,,,,,,,WOS:000401993200006,,,,,,
J,"Wang, TM; Feng, LM; Yang, HT; Han, BY; Zhao, YH; Juan, L; Lu, XY; Zou, L; Li, T; Xiao, WH; Mou, P; Smith, JLD; Ge, JP",,,,"Wang, Tianming; Feng, Limin; Yang, Haitao; Han, Boyu; Zhao, Yiheng; Juan, Lin; Lu, Xinyue; Zou, Liang; Li, Tong; Xiao, Wenhong; Mou, Pu; Smith, James L. D.; Ge, Jianping",,,A science-based approach to guide Amur leopard recovery in China,BIOLOGICAL CONSERVATION,,,,,,,,,,,,"The future of the critically endangered Amur leopard (Panthera pardus orientalis) is at a crucial point, and effective conservation strategies implemented within its primary historical range in Northeast China may determine the fate of this species. However, when a conservation plan was first developed for the species, scarce information on the leopards' status existed. To illustrate regional conservation challenges, we focused on the Hunchun Nature Reserve and the surrounding area along the China-Russia border, a potential stronghold for Amur leopard conservation. We conducted large-scale data analysis with a field camera-trapping network to present the first population estimates for this species using a spatially explicit capture-recapture approach. We then used a zero-inflated regression model to analyze the relationship of leopards with major prey species and anthropogenic disturbances. Our results indicate that leopards are returning to China, but most of them are part of a border population or are transient; their numbers are far too few to establish a healthy population. The spatial counts of leopards were noticeably high in areas with high prey richness and areas far from settlements and roads. Areas with few prey species and high human and cattle use exhibited a greater probability of excess absences of leopards. Mitigating human disturbances by progressively minimizing cattle and human impacts on the forest should be pursued along with habitat expansion for large ungulates, whose presence is essential for leopard occupancy. This study provides crucial information to support Chinese government recovery efforts and for refining conservation practices in human-dominated landscapes to ensure the long-term survival of this species. (C) 2016 Elsevier Ltd. All rights reserved.",,,,"Feng, Limin/G-9539-2014","Feng, Limin/0000-0001-9526-1681",,,,,,,,,,,,0006-3207,1873-2917,,,,JUN,2017,210,,B,,SI,,47,55,,10.1016/j.biocon.2016.03.014,,,,,,,WOS:000404709100007,,,,,,
J,"Paton, DG; Ciuti, S; Quinn, M; Boyce, MS",,,,"Paton, Dale G.; Ciuti, Simone; Quinn, Michael; Boyce, Mark S.",,,Hunting exacerbates the response to human disturbance in large herbivores while migrating through a road network,ECOSPHERE,,,,,,,,,,,,"Migrations of large ungulates are globally threatened in environments affected by increasing human disturbance, rising large carnivore predation, deteriorating habitat quality, and changing climate. Animals migrating outside of protected areas can be exposed to greater human pressure, and this effect can be stronger when humans are perceived to be a predation risk, such as during hunting seasons. Using four consecutive years of satellite telemetry data (n = 138 migration events), we compared habitat selection, movement, and behavior of a large partially migratory herbivore while migrating through a heterogeneous landscape in spring and fall. We tested the hypothesis that fall hunting exacerbates the response of a large herbivore exposed to human disturbance while migrating through a road network. All elk (Cervus elaphus) selected greater forest cover, reduced movement rates, and avoided roads during fall-day than in any other season or time of day. Avoidance of roads was reduced during spring at night, for example, the time period of no hunting with fewest people on roads. Elk using stopovers in fall displayed different seasonal and diurnal behaviors between sexes in response to the disturbance. Females used steeper terrain during fall-day and males did not use this strategy in fall. Male avoidance of roads was much stronger than females during fall-day and males were less likely to cross a road during fall. Such responses are probably linked to higher hunting pressure on males vs. females. Finally, we found that elk spent more time feeding during spring migration compared to the fall migration and elk vigilance was > 3 times higher in the fall hunting season. Our results provide insights into the effect of fear of humans on the ecology of both sexes of a migrating large herbivore when using stopovers. Such changes in behavior and stopover use might affect animal fitness by decreasing foraging, cause displacement from high-quality habitats, or affect the permeability of migration route stopovers.",,,,"Ciuti, Simone/D-7283-2013; Boyce, Mark S/A-2620-2014","Ciuti, Simone/0000-0003-1052-9509; Boyce, Mark S/0000-0001-5811-325X",,,,,,,,,,,,2150-8925,,,,,JUN,2017,8,6,,,,,,,e01841,10.1002/ecs2.1841,,,,,,,WOS:000405626700020,,,,,,
J,"Firth, JA; Voelkl, B; Crates, RA; Aplin, LM; Biro, D; Croft, DP; Sheldon, BC",,,,"Firth, Josh A.; Voelkl, Bernhard; Crates, Ross A.; Aplin, Lucy M.; Biro, Dora; Croft, Darren P.; Sheldon, Ben C.",,,Wild birds respond to flockmate loss by increasing their social network associations to others,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,,,,,,,,,,,,"Understanding the consequences of losing individuals from wild populations is a current and pressing issue, yet how such loss influences the social behaviour of the remaining animals is largely unexplored. Through combining the automated tracking of winter flocks of over 500 wild great tits (Pants major) with removal experiments, we assessed how individuals' social network positions responded to the loss of their social associates. We found that the extent of flockmate loss that individuals experienced correlated positively with subsequent increases in the number of their social associations, the average strength of their bonds and their overall connectedness within the social network (defined as summed edge weights). Increased social connectivity was not driven by general disturbance or changes in foraging behaviour, but by modifications to fine-scale social network connections in response to losing their associates. Therefore, the reduction in social connectedness expected by individual loss may be mitigated by increases in social associations between remaining individuals. Given that these findings demonstrate rapid adjustment of social network associations in response to the loss of previous social ties, future research should examine the generality of the compensatory adjustment of social relations in ways that maintain the structure of social organization.",,,,"Croft, Darren P/B-5503-2009; Sheldon, Ben C/A-8056-2010; Crates, Ross/AAG-2161-2021","Croft, Darren P/0000-0001-6869-5097; Sheldon, Ben C/0000-0002-5240-7828; Firth, Josh/0000-0001-7183-4115; Voelkl, Bernhard/0000-0001-5454-2508",,,,,,,,,,,,0962-8452,1471-2954,,,,MAY 17,2017,284,1854,,,,,,,20170299,10.1098/rspb.2017.0299,,,,,,,WOS:000404425100007,28515203,,,,,
J,"Pezy, JP; Raoux, A; Marmin, S; Balay, P; Niquil, N; Dauvin, JC",,,,"Pezy, Jean-Philippe; Raoux, Aurore; Marmin, Stella; Balay, Pierre; Niquil, Nathalie; Dauvin, Jean-Claude",,,Before-After analysis of the trophic network of an experimental dumping site in the eastern part of the Bay of Seine (English Channel),MARINE POLLUTION BULLETIN,,,,,,,,,,,,"An experimental study was conducted to assess the physical and biological impacts of muddy fine sand dredged material dumped on a medium sand site Machu offshore the Seine Estuary. Complementary trophic web modelling tools were applied to the Machu ecosystem to analyse the effects of dumping operations. Results show that, after the dumping operations, the biomass of fish increased while invertebrate biomass remained relatively stable through time. Nevertheless, the biomasses of benthic invertebrates, omnivores/scavengers and predators showed some increases, while non-selective deposit feeders and filter feeders decreased. At the ecosystem level, results show that the total ecosystem activity, the ascendency and the overall omnivorous character of the food-web structure increased after dumping operations, whereas recycling subsequently decreased. Finally, the fine and medium sand habitat offshore from the Seine estuary, which undergoes regular natural physical perturbations, shows a high resilience after a short dumping phase. (C) 2017 Elsevier Ltd. All rights reserved.",,,,,"Niquil, Nathalie/0000-0002-0772-754X",,,,,,,,,,,,0025-326X,1879-3363,,,,MAY 15,2017,118,1-2,,,,,101,111,,10.1016/j.marpolbul.2017.02.042,,,,,,,WOS:000402217300026,28233526,,,,,
J,"Cooper, AR; Infante, DM; Daniel, WM; Wehrly, KE; Wang, LZ; Brenden, TO",,,,"Cooper, Arthur R.; Infante, Dana M.; Daniel, Wesley M.; Wehrly, Kevin E.; Wang, Lizhu; Brenden, Travis O.",,,Assessment of dam effects on streams and fish assemblages of the conterminous USA,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,"Despite the prevalence of damming as a global disturbance to river habitats, detailed reach-based assessments of the ecological effects of dams are lacking, particularly across large spatial extents. Using data from nearly 50,000 large dams, we assessed stream network fragmentation and flow alteration by large dams for streams of the conterminous USA. We developed 21 dam metrics characterizing a diversity of dam influences operating at both localized (e.g., distances-to-dams) and landscape scales (e.g., cumulative reservoir storage throughout stream networks) for every stream reach in the study region. We further evaluated how dams have affected stream fish assemblages within large ecoregions using more than 37,000 stream fish samples. Stream's have been severely fragmented by large dams, with the number of stream segments increasing by 801% compared to free-flowing streams in the absence of dams and a staggering 79% of stream length is disconnected from their outlet (i.e., oceans and Great Lakes). Flow alteration metrics demonstrate a landscape-scale disturbance of dams, resulting in total upstream reservoir storage volumes exceeding estimated annual discharge volumes of many of the nation's largest rivers. Further, we show large-scale changes in fish assemblages With dams. Species adapted to lentic habitats increase with dams across the conterminous USA, while rheophils, lithophils, and intolerant fishes decrease with dams. Overall, fragmentation and flow alteration by dams have affected fish assemblages as Much or more than other anthropogenic stressors, with dam effects generally increasing with stream size. Dam-induced stream fragmentation and flow alteration are critical natural resource issues. This study emphasizes the importance of considering dams as a landscape-scale disturbance to river habitats along with the need to assess differential effects that dams may have on river habitats and the fishes they support. Together, these insights are essential for more effective conservation of stream resource's and biotic communities globally. (C) 2017 Elsevier B.V. All rights reserved.",,,,"Wang, Lizhu/AAG-7481-2021","Cooper, Arthur/0000-0002-0557-8560",,,,,,,,,,,,0048-9697,1879-1026,,,,MAY 15,2017,586,,,,,,879,889,,10.1016/j.scitotenv.2017.02.067,,,,,,,WOS:000398758800084,28233615,,,,,
J,"Lee, F; Simon, KS; Perry, GLW",,,,"Lee, Finnbar; Simon, Kevin S.; Perry, George L. W.",,,Increasing agricultural land use is associated with the spread of an invasive fish (Gambusia affinis),SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,"Land-use change and invasive species pose major threats to ecosystems globally. These stressors can act together, with disturbance due to changes in land-use facilitating invasion. We examined the potential for agricultural land use to facilitate the establishment and population growth (abundance) of a globally invasive fish (Gambusia affinis). To achieve this we examined Gambusia presence, abundance, and life history traits in 31 streams spanning an agricultural land use gradient in the North Island of New Zealand. We used regression models to quantify the relationship between agricultural land use and in-stream physiochemical and habitat variables, and zero-inflated models to explore the relationship among physiochemical, habitat and catchment-scale variables and Gambusia's distribution and abundance. The percentage of the catchment in agricultural land use was associated with changes to physiochemical and habitat conditions. Increasing agricultural land use was associated with increasing macrophyte cover and water temperature and decreasing velocity in streams. Catchment-scale variables (land use and site position in the network) and water temperature were the most important determinants of whether Gambusia dccurred at a site. Local in-stream habitat (macrophyte cover and Water velocity) and nutrient conditions were the most influential predictors of Gambusia abundance given Gambusia were present. Gambusia life-history traits, sex ratio and body length varied among sites but were not predicted by physiochemical gradients. The distribution of Gambusia in streams in New Zealand is partially controlled by catchment-scale conditions via a combination of dispersal limitation and environmental filtering, both of which are affected by agricultural land use. Agricultural land use alters local in-stream conditions, resulting in systems that are similar to those in Gambusia's natural range; these altered systems have the potential to support an increased abundance of Gambusia. This study provides preliminary quantitative evidence that agricultural land use is related to the spread of a globally invasive freshwater fish. (C) 2017 Elsevier B.V. All rights reserved.",,,,,"Lee, Finnbar/0000-0002-9219-1486",,,,,,,,,,,,0048-9697,1879-1026,,,,MAY 15,2017,586,,,,,,1113,1123,,10.1016/j.scitotenv.2017.02.101,,,,,,,WOS:000398758800107,28214124,,,,,
J,"Pinter-Wollman, N; Mi, BR; Pruitt, JN",,,,"Pinter-Wollman, Noa; Mi, Brian; Pruitt, Jonathan N.",,,Replacing bold individuals has a smaller impact on group performance than replacing shy individuals,BEHAVIORAL ECOLOGY,,,,,,,,,,,,"In many animal societies, just one or few individuals referred to as keystone individuals can have a disproportionately large impact on collective outcomes. Despite ongoing interest in the consequences of losing a keystone individual on group performance, little is known about whether other individuals with an appropriate behavioral type can readily assume the keystone role. Here, we examine if the identity of a keystone individual impacts its influence on the collective behavior of its group in a society of social spiders. We find that the repeated replacement of a keystone individual, which is typically a group's boldest constituent, has little impact on the collective prey capture of the colony. However, repeatedly replacing a shy, generic, individual in the group reduces prey capture success. Groups in which the keystone individual is repeatedly replaced increase their overall boldness, thus potentially collectively substituting the bold behavioral type that they lost. Furthermore, newly replaced keystone individuals participate in a greater proportion of prey attacks than established keystone individuals in undisturbed colonies, as seen in prior work on colony social development, suggesting that the repeated replacement of a keystone individual maintains colonies in an early stage of social succession. By uncovering the mechanisms that underlie a group's robustness to social perturbations, our work sheds light on how social dynamics dictate colony-level phenotypes in animal groups.",,,,,"Pruitt, Jonathan/0000-0003-0326-6755",,,,,,,,,,,,1045-2249,1465-7279,,,,MAY-JUN,2017,28,3,,,,,883,889,,10.1093/beheco/arx054,,,,,,,WOS:000401942800038,,,,,,
J,"Morris-Drake, A; Bracken, AM; Kern, JM; Radford, AN",,,,"Morris-Drake, Amy; Bracken, Anna M.; Kern, Julie M.; Radford, Andrew N.",,,Anthropogenic noise alters dwarf mongoose responses to heterospecific alarm calls,ENVIRONMENTAL POLLUTION,,,,,,,,,,,,"Anthropogenic noise is an evolutionarily novel and widespread pollutant in both terrestrial and aquatic habitats. Despite increasing evidence that the additional noise generated by human activities can affect vocal communication, the majority of research has focused on the use of conspecific acoustic information, especially sexual signals. Many animals are known to eavesdrop on the alarm calls produced by other species, enhancing their likelihood of avoiding predation, but how this use of heterospecific information is affected by anthropogenic noise has received little empirical attention. Here, we use two field-based playback experiments on a habituated wild population of dwarf mongooses (Helogale parvula) to determine how anthropogenic noise influences the response of foragers to heterospecific alarm calls. We begin by demonstrating that dwarf mongooses respond appropriately to the alarm calls of sympatric chacma baboons (Papio ursinus) and tree squirrels (Paraxerus cepapi); fleeing only to the latter. We then show that mongoose foragers are less likely to exhibit this flee response to tree squirrel alarm calls during road-noise playback compared to ambient-sound playback. One explanation for the change in response is that noise-induced distraction or stress result in maladaptive behaviour. However, further analysis revealed that road-noise playback results in increased vigilance and that mongooses showing the greatest vigilance increase are those that do not subsequently exhibit a flee response to the alarm call. These individuals may therefore be acting appropriately: if the greater gathering of personal information indicates the absence of an actual predator despite an alarm call, the need to undertake costly fleeing behaviour can be avoided. Either way, our study indicates the potential for anthropogenic noise to interfere with the use of acoustic information from other species, and suggests the importance of considering how heterospecific networks are affected by this global pollutant. Crown Copyright (C) 2017 Published by Elsevier Ltd. All rights reserved.",,,,"Kern, Julie/Y-6937-2019","Kern, Julie/0000-0002-7619-8653; Radford, Andrew N/0000-0001-5470-3463",,,,,,,,,,,,0269-7491,1873-6424,,,,APR,2017,223,,,,,,476,483,,10.1016/j.envpol.2017.01.049,,,,,,,WOS:000397359500051,28153414,,,,,
J,"McCann, MJ; Able, KW; Christian, RR; Fodrie, FJ; Jensen, OP; Johnson, JJ; Lopez-Duarte, PC; Martin, CW; Olin, JA; Polito, MJ; Roberts, BJ; Ziegler, SL",,,,"McCann, Michael J.; Able, Kenneth W.; Christian, Robert R.; Fodrie, F. Joel; Jensen, Olaf P.; Johnson, Jessica J.; Lopez-Duarte, Paola C.; Martin, Charles W.; Olin, Jill A.; Polito, Michael J.; Roberts, Brian J.; Ziegler, Shelby L.",,,Key taxa in food web responses to stressors: the Deepwater Horizon oil spill,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,,,,,,,,,,,,"Identifying key taxa in the response of ecosystems to perturbations relies on quantifying both their sensitivity to stressors and their importance in the overall web of interactions. If sensitive taxa occupy key network positions, then they may decrease the capacity of ecosystems to resist perturbations. Despite widespread concern for coastal marshes after the 2010 Deepwater Horizon oil spill in the Gulf of Mexico, impacts on individual taxa were variable, and the effects on the overall marsh food web have not been assessed. Here, we synthesize published studies on trophic relationships and oil sensitivity to identify critical taxa in the response of marsh food webs to the oil spill. Taxa such as carnivorous marsh fishes are expected to enhance resilience, while gulls, terns, and omnivorous snails may destabilize the food web. Our framework for identifying key taxa can be applied to other environmental stressors or ecosystems if both the sensitivity of individual taxa to a stressor and the food web structure are known.",,,,,"Ziegler, Shelby/0000-0001-7218-0811; Martin, Charles/0000-0001-9240-3824; Roberts, Brian/0000-0002-6366-3165; Olin, Jill/0000-0002-2748-1970",,,,,,,,,,,,1540-9295,1540-9309,,,,APR,2017,15,3,,,,,142,149,,10.1002/fee.1474,,,,,,,WOS:000398039500013,,,,,,
J,"Wood, G; Whyatt, D; Hackett, D; Stevens, C",,,,"Wood, Greg; Whyatt, Duncan; Hackett, David; Stevens, Carly",,,Spatio-temporal challenges in representing wildlife disturbance within a GIS,ENVIRONMENTAL TECHNOLOGY & INNOVATION,,,,,,,,,,,,"Assessing the potential environmental impacts of disturbance on protected species during and after the development process is a legislative requirement in most nations. However, the restrictions that this legislation places on developers are often based on limited ecological understanding, over-simplified methodologies, less-than-robust data and the subjective interpretations of field ecologists. Consequently, constraints may be imposed with no transparent methodology behind them to the frustration of, and occasionally large expense to, developers. Additionally, protected species numbers continue to decline and biodiversity continues to be threatened. This paper describes a GIS conceptual model for assessing ecological disturbance vulnerability, based upon a case study development in Scotland. First, uncertainties in traditional methods of recording and representing ecological features with GIS are reviewed such that they may be better accounted for in the disturbance model. Second, by incorporating temporal fluctuations in ecological behaviour into the disturbance susceptibility concept, it is argued that it is possible to synchronise development with conservation requirements. Finally, a method is presented to account for disturbance tolerances at the scale of the individual animal. It is anticipated that this model will enable environmental impact assessors to produce more robust analyses of wildlife disturbance risk and facilitate synchronisation between development and wildlife vulnerability to minimise disturbance and better avoid delays to the works programme. (c) 2016 Elsevier B.V. All rights reserved.",,,,"Whyatt, J Duncan/D-8123-2014","Whyatt, J Duncan/0000-0001-9329-4367; Stevens, Carly/0000-0002-2390-1763",,,,,,,,,,,,2352-1864,,,,,APR,2017,7,,,,,,44,53,,10.1016/j.eti.2016.12.003,,,,,,,WOS:000444428300006,,,,,,
J,"Plowman, NS; Hood, ASC; Moses, J; Redmond, C; Novotny, V; Klimes, P; Fayle, TM",,,,"Plowman, Nichola S.; Hood, Amelia S. C.; Moses, Jimmy; Redmond, Conor; Novotny, Vojtech; Klimes, Petr; Fayle, Tom M.",,,Network reorganization and breakdown of an ant - plant protection mutualism with elevation,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,,,,,,,,,,,,"Both the abiotic environment and the composition of animal and plant communities change with elevation. For mutualistic species, these changes are expected to result in altered partner availability, and shifts in context-dependent benefits for partners. To test these predictions, we assessed the network structure of terrestrial ant-plant mutualists and how the benefits to plants of ant inhabitation changed with elevation in tropical forest in Papua New Guinea. At higher elevations, ant-plants were rarer, species richness of both ants and plants decreased, and the average ant or plant species interacted with fewer partners. However, networks became increasingly connected and less specialized, more than could be accounted for by reductions in ant-plant abundance. On the most common ant-plant, ants recruited less and spent less time attacking a surrogate herbivore at higher elevations, and herbivory damage increased. These changes were driven by turnover of ant species rather than by within-species shifts in protective behaviour. We speculate that reduced partner availability at higher elevations results in less specialized networks, while lower temperatures mean that even for ant-inhabited plants, benefits are reduced. Under increased abiotic stress, mutualistic networks can break down, owing to a combination of lower population sizes, and a reduction in context-dependent mutualistic benefits.",,,,"Plowman, Nichola S/H-5616-2019; Hood, Amelia SC/AAQ-4684-2020; Novotny, Vojtech/G-9434-2014; Fayle, Tom Maurice/A-2721-2009; Redmond, Conor/AAF-2950-2019; Klimes, Petr/G-6823-2014","Hood, Amelia SC/0000-0003-3803-0603; Novotny, Vojtech/0000-0001-7918-8023; Fayle, Tom Maurice/0000-0002-1667-1189; Klimes, Petr/0000-0002-6561-4455; Moses, Jimmy/0000-0003-3342-2384",,,,,,,,,,,,0962-8452,1471-2954,,,,MAR 15,2017,284,1850,,,,,,,20162564,10.1098/rspb.2016.2564,,,,,,,WOS:000397883100013,28298349,,,,,
J,"O'Reilly, EE; Chadwick, NE",,,,"O'Reilly, Erin E.; Chadwick, Nanette E.",,,Population dynamics of corkscrew sea anemones Bartholomea annulata in the Florida Keys,MARINE ECOLOGY PROGRESS SERIES,,,,,,,,,,,,"Corkscrew sea anemones Bartholomea annulata are important ecologically as hubs of a mutualistic network involving cleaner shrimps and client fishes on Caribbean reefs. They also are collected for the ornamental aquarium trade, but little is known about their population dynamics to support conservation management. We quantified variation in population structure among regions of the Florida Keys and levels of human impact within region. The Upper Keys and lowimpact sites supported higher population abundance and proportions of small anemones than the Lower Keys and high- impact sites. At 2 sites where we monitored anemone dynamics every 2 mo for 1 yr, individuals recruited frequently and grew rapidly to maximum body size and then re mained static or shrank. Fewer than half the individuals survived all year, indicating rapid population turnover, with mortality occurring mostly among small individuals or large ones that appeared to senesce beforehand. Stasis of large individuals (or lack thereof) exerted the most influence on population size. We conclude that in Florida, corkscrew anemones experience relatively high recruitment and survival at sites with low human impact and in the Upper Keys, where summer water temperatures are cooler than in the Lower Keys. Populations are highly dynamic and appear to rely on frequent recruitment, potentially linked to the presence of resident adults at high enough abundances for fertilization of broadcast propagules. The ephemeral nature of these anemones has important implications for the dynamics of their anemoneshrimp symbionts, for reef fishes that utilize them as parasite cleaning stations, and for the conservation management of their populations.",,,,,"Chadwick, Nanette/0000-0003-3559-2248",,,,,,,,,,,,0171-8630,1616-1599,,,,MAR 13,2017,567,,,,,,109,123,,10.3354/meps12032,,,,,,,WOS:000397823100008,,,,,,
